is_not_property,estimated_dollar_loss,ignition_source,longitude,latitude,hour
#052c66cb,0,NA,-79.39313986,43.64444344,23
#052c66cb,0,NA,-79.15027448,43.77333752,0
#052c66cb,0,NA,-79.24129347,43.73750053,1
#052c66cb,0,NA,-79.42144176,43.6844554,4
red,500,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.37377791,43.66729534,13
#052c66cb,0,NA,-79.48823193,43.61573701,20
red,8000,49 - Other Appliances,-79.3797555,43.66282597,20
red,0,"28 - Cord, Cable for Appliance, Electrical Articles",-79.42731127,43.69629539,21
red,300000,999 - Undetermined,-79.42731127,43.69629539,23
red,300,72 - Cutting/Welding Equipment,-79.35939208,43.74587358,13
#052c66cb,5,999 - Undetermined,-79.46846843,43.77519386,23
#052c66cb,0,NA,-79.31409589,43.66925433,23
#052c66cb,0,NA,-79.31409589,43.66925433,0
red,5000,20 - Service/Utility Lines (includes power/hydro transmission lines),-79.48132974,43.68351769,5
red,9999,"11 - Stove, Range-top burner",-79.27722582,43.70518107,17
#052c66cb,2000,82 - Vehicle - Mechanical,-79.42337417,43.74273528,12
red,3000,14 - Open Fired Barbeque - Fixed or Portable,-79.31119326,43.67871869,22
#052c66cb,0,NA,-79.49544373,43.64960503,8
#052c66cb,0,NA,-79.3758926,43.6724655,15
#052c66cb,0,NA,-79.37078588,43.74699875,17
#052c66cb,0,NA,-79.37069714,43.67200954,14
#052c66cb,5000,999 - Undetermined,-79.56267721,43.61230761,18
red,2000,"11 - Stove, Range-top burner",-79.40268157,43.63744111,18
#052c66cb,0,NA,-79.51898556,43.6942634,19
red,30000,48 - Air Conditioner - Window or Room Unit,-79.44657822,43.78174799,20
#052c66cb,12000,82 - Vehicle - Mechanical,-79.40073242,43.67327259,20
#052c66cb,0,NA,-79.42413915,43.63759363,14
#052c66cb,0,NA,-79.32960356,43.74297513,16
#052c66cb,0,NA,-79.58111761,43.71384492,14
red,1000,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.42854249,43.794477,12
red,90000,37 - Fireplace Insert,-79.55407885,43.71258702,22
red,5000,81 - Vehicle - Electrical,-79.42580477,43.6348928,0
#052c66cb,5000,999 - Undetermined,-79.28668628,43.69043934,0
#052c66cb,80000,82 - Vehicle - Mechanical,-79.34527602,43.73463936,17
red,100,"28 - Cord, Cable for Appliance, Electrical Articles",-79.4309737,43.63997407,18
red,50000,"26 - Terminations-Copper (incl receptacles, switches, lights)",-79.49068932,43.7069166,18
red,5000,20 - Service/Utility Lines (includes power/hydro transmission lines),-79.4839673,43.66999867,21
#052c66cb,0,NA,-79.34519556,43.667095,14
#052c66cb,1,30 - Other Electrical Distribution Item,-79.23175684,43.77643625,13
#052c66cb,10000,999 - Undetermined,-79.3758926,43.6724655,16
red,3000,999 - Undetermined,-79.26322701,43.75814294,19
red,30000,49 - Other Appliances,-79.29129854,43.69314473,18
#052c66cb,0,NA,-79.35303045,43.668802,20
red,5000,"11 - Stove, Range-top burner",-79.38953034,43.70303805,9
#052c66cb,0,NA,-79.36273923,43.65407806,11
#052c66cb,0,NA,-79.335192609999993,43.73126209,12
red,5000,43 - Clothes Dryer,-79.38545265,43.66474338,22
red,50000,43 - Clothes Dryer,-79.39462491,43.64442282,10
#052c66cb,0,NA,-79.58186231,43.66204877,12
red,50,59 - Other Lighting Equipment,-79.46822302,43.65633236,16
#052c66cb,700,999 - Undetermined,-79.58942326,43.73202269,17
red,20000,81 - Vehicle - Electrical,-79.21602194,43.80159038,18
red,150000,14 - Open Fired Barbeque - Fixed or Portable,-79.58767597,43.66610096,23
red,10000,15 - Range Hood,-79.39414142,43.66872026,18
#052c66cb,0,NA,-79.38585604,43.66799584,22
#052c66cb,0,NA,-79.38095933,43.66572255,21
#052c66cb,0,NA,-79.3832038,43.65431885,2
#052c66cb,0,NA,-79.32077246,43.7429241,8
#052c66cb,0,NA,-79.34408706,43.6615217,16
red,2000,12 - Oven,-79.47306643,43.67679079,22
#052c66cb,0,NA,-79.37277428,43.71380676,0
#052c66cb,0,NA,-79.37150338,43.64763714,8
#052c66cb,0,NA,-79.3499798,43.71709874,12
#052c66cb,0,NA,-79.39065767,43.70961555,13
#052c66cb,200000,55 - Candle,-79.40066303,43.72369965,13
#052c66cb,0,NA,-79.41828839,43.64982534,12
#052c66cb,0,NA,-79.38145787,43.65922466,14
#052c66cb,5000,999 - Undetermined,-79.3051581,43.7971156,16
#052c66cb,0,NA,-79.46796003,43.63495813,16
red,50,"11 - Stove, Range-top burner",-79.56320517,43.68149756,18
#052c66cb,0,NA,-79.37415271,43.68017747,20
#052c66cb,0,NA,-79.40599499,43.64890278,21
#052c66cb,0,NA,-79.43986328,43.63995117,22
red,10000,24 - Circuit Wiring - Copper,-79.58463648,43.72318528,23
#052c66cb,0,NA,-79.40478879,43.67535765,8
#052c66cb,0,NA,-79.51886866,43.64901979,10
#052c66cb,0,NA,-79.19662813,43.77275752,8
#052c66cb,0,NA,-79.52068168,43.71354299,12
red,900000,999 - Undetermined,-79.43950275,43.63910771,12
red,800,12 - Oven,-79.44085608,43.6784354,12
red,5000,83 - Other Electrical,-79.19797873,43.79031463,9
#052c66cb,0,NA,-79.28406044,43.68081144,17
#052c66cb,0,NA,-79.48206974,43.72664238,13
red,2000,13 - Microwave,-79.196434729999993,43.76615019,15
#052c66cb,0,NA,-79.52832035,43.70454549,16
red,1000,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",-79.47897192,43.62369337,18
red,90000,"11 - Stove, Range-top burner",-79.38588467,43.65698889,15
#052c66cb,0,79 - Other Open Flame Tools/Smokers' Articles,-79.52741324,43.68415435,15
#052c66cb,500,999 - Undetermined,-79.37144422,43.65589584,23
#052c66cb,2000,999 - Undetermined,-79.36441281,43.65212388,0
#052c66cb,500,999 - Undetermined,-79.36403029,43.65127353,0
#052c66cb,0,NA,-79.16935648,43.78414136,16
#052c66cb,100000,999 - Undetermined,-79.50815841,43.71907741,18
red,10000,83 - Other Electrical,-79.37217017,43.80713504,19
red,0,999 - Undetermined,-79.42843226,43.6754958,5
red,100000,31 - Central Heating/Cooling Unit,-79.28542217,43.82800371,4
#052c66cb,0,NA,-79.44857249,43.72561374,21
red,140000,17 - Wood burning stove,-79.27269019,43.74052829,21
#052c66cb,10000,82 - Vehicle - Mechanical,-79.52174299,43.74346075,23
red,100,"11 - Stove, Range-top burner",-79.37945204,43.66889391,4
#052c66cb,0,NA,-79.35868759,43.66241553,10
red,0,12 - Oven,-79.47685184,43.68891266,12
#052c66cb,0,NA,-79.37714823,43.65650117,17
#052c66cb,0,NA,-79.46481214,43.64385105,20
#052c66cb,5000,999 - Undetermined,-79.2329791,43.77954463,22
#052c66cb,0,NA,-79.18811649,43.77676705,22
#052c66cb,20000,98 - Other,-79.20297156,43.80649916,7
#052c66cb,0,NA,-79.23202121,43.75931645,9
#052c66cb,0,NA,-79.40002986,43.79886946,21
#052c66cb,0,NA,-79.2941565,43.66786403,22
#052c66cb,0,NA,-79.38264148,43.65297048,18
#052c66cb,10000,999 - Undetermined,-79.53333797,43.71577221,4
#052c66cb,0,999 - Undetermined,-79.39779247,43.65226015,7
red,0,77 - Matches or Lighters (unable to distinguish),-79.39047542,43.69860151,10
#052c66cb,0,NA,-79.39066727,43.65241212,12
red,0,77 - Matches or Lighters (unable to distinguish),-79.39047542,43.69860151,12
red,4000,"11 - Stove, Range-top burner",-79.22011353,43.80356526,14
red,500000,"29 - Extension Cord, Temporary Wiring",-79.33745398,43.6658105,16
#052c66cb,0,NA,-79.53749522,43.73156996,17
#052c66cb,0,NA,-79.37589958,43.66043938,18
#052c66cb,0,NA,-79.39028752,43.6514978,21
#052c66cb,0,NA,-79.42117005,43.78489957,21
